model,component_group,support,precision,recall,f1
CatBoost MultiLabel,ENGINE / COOLING,2934,0.4346,0.8286,0.5701
CatBoost MultiLabel,ELECTRICAL SYSTEM,2509,0.3873,0.7784,0.5173
CatBoost MultiLabel,POWER TRAIN,2090,0.3843,0.6359,0.4791
CatBoost MultiLabel,FUEL / PROPULSION,1053,0.3148,0.3058,0.3102
CatBoost MultiLabel,SERVICE BRAKES,1010,0.3902,0.496,0.4368
CatBoost MultiLabel,STEERING,777,0.368,0.4003,0.3835
CatBoost MultiLabel,FORWARD COLLISION AVOIDANCE,656,0.2871,0.3979,0.3335
CatBoost MultiLabel,STRUCTURE,457,0.4021,0.2516,0.3096
CatBoost MultiLabel,VEHICLE SPEED CONTROL,432,0.2343,0.0949,0.1351
CatBoost MultiLabel,AIR BAGS,423,0.4151,0.4681,0.44
CatBoost MultiLabel,VISIBILITY / WIPER,369,0.4098,0.2276,0.2927
CatBoost MultiLabel,BACK OVER PREVENTION,354,0.5815,0.5141,0.5457
CatBoost MultiLabel,SUSPENSION,335,0.368,0.2537,0.3004
CatBoost MultiLabel,EXTERIOR LIGHTING,317,0.396,0.1861,0.2532
CatBoost MultiLabel,LANE DEPARTURE,230,0.2099,0.1478,0.1735
CatBoost MultiLabel,SEATS,164,0.4878,0.3659,0.4181
CatBoost MultiLabel,SEAT BELTS,161,0.125,0.0435,0.0645
CatBoost MultiLabel,WHEELS,139,0.0909,0.0072,0.0133
CatBoost MultiLabel,TIRES,65,0.0,0.0,0.0
CatBoost MultiLabel,LATCHES/LOCKS/LINKAGES,32,0.1667,0.125,0.1429
CatBoost MultiLabel,ELECTRONIC STABILITY CONTROL (ESC),11,0.5,0.0909,0.1538
CatBoost MultiLabel,PARKING BRAKE,8,0.3333,0.125,0.1818
CatBoost MultiLabel,FIRERELATED,4,1.0,0.25,0.4
CatBoost MultiLabel,TRACTION CONTROL SYSTEM,4,0.0,0.0,0.0
CatBoost MultiLabel,TRAILER HITCHES,4,0.0,0.0,0.0
CatBoost MultiLabel,COMMUNICATION,3,0.0,0.0,0.0
CatBoost MultiLabel,ELECTRONIC STABILITY CONTROL,0,0.0,0.0,0.0
CatBoost MultiLabel,INTERIOR LIGHTING,0,0.0,0.0,0.0
CatBoost MultiLabel,NONE,0,0.0,0.0,0.0
CatBoost MultiLabel,ROLLOVER,0,0.0,0.0,0.0
