true_group,pred_group,count,row_share
,ENGINE / COOLING,5,0.061
,POWER TRAIN,14,0.1707
,ELECTRICAL SYSTEM,25,0.3049
,STEERING,4,0.0488
,SERVICE BRAKES,3,0.0366
,AIR BAGS,8,0.0976
,FUEL / PROPULSION,1,0.0122
,STRUCTURE,3,0.0366
,VISIBILITY / WIPER,3,0.0366
,EXTERIOR LIGHTING,1,0.0122
,SUSPENSION,7,0.0854
,FORWARD COLLISION AVOIDANCE,8,0.0976
ENGINE / COOLING,ENGINE / COOLING,1421,0.9039
ENGINE / COOLING,POWER TRAIN,57,0.0363
ENGINE / COOLING,ELECTRICAL SYSTEM,49,0.0312
ENGINE / COOLING,STEERING,0,0.0
ENGINE / COOLING,SERVICE BRAKES,8,0.0051
ENGINE / COOLING,AIR BAGS,5,0.0032
ENGINE / COOLING,FUEL / PROPULSION,25,0.0159
ENGINE / COOLING,STRUCTURE,2,0.0013
ENGINE / COOLING,VISIBILITY / WIPER,2,0.0013
ENGINE / COOLING,EXTERIOR LIGHTING,0,0.0
ENGINE / COOLING,SUSPENSION,2,0.0013
ENGINE / COOLING,FORWARD COLLISION AVOIDANCE,1,0.0006
POWER TRAIN,ENGINE / COOLING,77,0.0681
POWER TRAIN,POWER TRAIN,973,0.8603
POWER TRAIN,ELECTRICAL SYSTEM,37,0.0327
POWER TRAIN,STEERING,8,0.0071
POWER TRAIN,SERVICE BRAKES,6,0.0053
POWER TRAIN,AIR BAGS,1,0.0009
POWER TRAIN,FUEL / PROPULSION,7,0.0062
POWER TRAIN,STRUCTURE,0,0.0
POWER TRAIN,VISIBILITY / WIPER,1,0.0009
POWER TRAIN,EXTERIOR LIGHTING,1,0.0009
POWER TRAIN,SUSPENSION,19,0.0168
POWER TRAIN,FORWARD COLLISION AVOIDANCE,1,0.0009
ELECTRICAL SYSTEM,ENGINE / COOLING,26,0.0258
ELECTRICAL SYSTEM,POWER TRAIN,22,0.0218
ELECTRICAL SYSTEM,ELECTRICAL SYSTEM,874,0.8671
ELECTRICAL SYSTEM,STEERING,10,0.0099
ELECTRICAL SYSTEM,SERVICE BRAKES,7,0.0069
ELECTRICAL SYSTEM,AIR BAGS,5,0.005
ELECTRICAL SYSTEM,FUEL / PROPULSION,9,0.0089
ELECTRICAL SYSTEM,STRUCTURE,24,0.0238
ELECTRICAL SYSTEM,VISIBILITY / WIPER,15,0.0149
ELECTRICAL SYSTEM,EXTERIOR LIGHTING,11,0.0109
ELECTRICAL SYSTEM,SUSPENSION,1,0.001
ELECTRICAL SYSTEM,FORWARD COLLISION AVOIDANCE,4,0.004
STEERING,ENGINE / COOLING,1,0.0026
STEERING,POWER TRAIN,4,0.0103
STEERING,ELECTRICAL SYSTEM,3,0.0077
STEERING,STEERING,364,0.9381
STEERING,SERVICE BRAKES,0,0.0
STEERING,AIR BAGS,2,0.0052
STEERING,FUEL / PROPULSION,0,0.0
STEERING,STRUCTURE,1,0.0026
STEERING,VISIBILITY / WIPER,0,0.0
STEERING,EXTERIOR LIGHTING,2,0.0052
STEERING,SUSPENSION,11,0.0284
STEERING,FORWARD COLLISION AVOIDANCE,0,0.0
