stage,split,family_name,selected_text_weight,calibration_method,calibration_alpha,rows,top_1_accuracy,macro_f1,top_3_accuracy,ece,avg_confidence,accuracy,confidence_gap,multiclass_brier,log_loss
select_2025,select_2025,text_structured_late_fusion,0.75,power,1.5,48013,0.8467,0.7158,0.9449,0.0161,0.8306,0.8467,0.0161,0.234365,0.5887426779096211
select_2025,select_2025,text_structured_late_fusion,0.75,power,1.75,48013,0.8467,0.7158,0.9449,0.026,0.8685,0.8467,0.0218,0.234262,0.5964998775166512
select_2025,select_2025,text_structured_late_fusion,0.75,power,2.0,48013,0.8467,0.7158,0.9449,0.0466,0.8933,0.8467,0.0466,0.236891,0.6228972179937993
select_2025,select_2025,text_structured_late_fusion,0.75,power,1.35,48013,0.8467,0.7158,0.9449,0.0489,0.7978,0.8467,0.0489,0.237703,0.5989364666419081
select_2025,select_2025,text_structured_late_fusion,0.75,power,2.5,48013,0.8467,0.7158,0.9449,0.0758,0.9226,0.8467,0.0758,0.243888,0.7037327323343394
select_2025,select_2025,text_structured_late_fusion,0.75,power,3.0,48013,0.8467,0.7158,0.9449,0.0922,0.939,0.8467,0.0922,0.250466,0.8023117012133567
select_2025,select_2025,text_structured_late_fusion,0.75,power,1.2,48013,0.8467,0.7158,0.9449,0.0928,0.7539,0.8467,0.0928,0.246272,0.6266377128753483
select_2025,select_2025,text_structured_late_fusion,0.75,power,4.0,48013,0.8467,0.7158,0.9449,0.1098,0.9566,0.8467,0.1098,0.260715,1.0200880608019294
select_2025,select_2025,text_structured_late_fusion,0.75,power,5.0,48013,0.8467,0.7158,0.9449,0.1193,0.966,0.8467,0.1193,0.267953,1.2483786886020685
select_2025,select_2025,text_structured_late_fusion,0.75,power,1.1,48013,0.8467,0.7158,0.9449,0.1302,0.7166,0.8467,0.1302,0.256979,0.6587730963610874
select_2025,select_2025,text_structured_late_fusion,0.75,power,1.0,48013,0.8467,0.7158,0.9449,0.1753,0.6714,0.8467,0.1753,0.273952,0.7056302230628768
select_2025,select_2025,text_structured_late_fusion,0.75,power,0.75,48013,0.8467,0.7158,0.9449,0.3279,0.5189,0.8467,0.3279,0.362469,0.9170955308008167
select_2025,select_2025,text_structured_late_fusion,0.75,power,0.5,48013,0.8467,0.7158,0.9449,0.5259,0.3208,0.8467,0.5259,0.548304,1.336687581250642
