maketxt,modeltxt,yeartxt,component_group,topic_id,topic_label,mfr_name,months_flagged,first_month,latest_month,max_complaints,avg_complaints,median_complaints,max_growth_vs_6mo_avg,avg_topic_strength,max_watchlist_score,high_confidence_months,moderate_or_higher_months,best_signal_tier
ACURA,RDX,2015,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,HONDA (AMERICAN HONDA MOTOR CO.),16,2020-12-01,2025-10-01,21,8.19,6.0,4.0,0.852,15.092,6,13,High-confidence signal
HONDA,CIVIC,2016,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),16,2020-02-01,2025-06-01,15,8.0,8.0,6.86,0.537,20.97,4,13,High-confidence signal
CHEVROLET,MALIBU,2009,STEERING,1,Electric power steering assist loss,"GENERAL MOTORS, LLC",16,2020-01-01,2025-02-01,12,5.5,4.5,5.0,0.475,13.239,0,8,Moderate signal
FORD,F-150,2019,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,14,2020-02-01,2025-03-01,36,9.64,6.0,5.0,0.573,19.952,5,8,High-confidence signal
CADILLAC,SRX,2015,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"GENERAL MOTORS, LLC",14,2020-01-01,2024-11-01,13,6.5,5.5,5.0,0.787,17.704,1,10,High-confidence signal
FORD,ESCAPE,2009,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,14,2020-01-01,2026-01-01,9,6.36,7.0,3.82,0.535,13.284,0,10,Moderate signal
FORD,F-150,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,13,2020-01-01,2025-03-01,44,10.23,6.0,4.5,0.552,24.97,3,10,High-confidence signal
HONDA,CIVIC,2018,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),13,2021-03-01,2025-06-01,14,6.38,6.0,6.86,0.551,21.064,1,8,High-confidence signal
CHEVROLET,COLORADO,2016,STEERING,1,Electric power steering assist loss,"GENERAL MOTORS, LLC",13,2020-01-01,2025-06-01,13,6.54,5.0,4.29,0.494,12.128,2,8,High-confidence signal
FORD,EXPLORER,2014,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,13,2020-01-01,2025-07-01,9,5.46,5.0,5.33,0.476,15.393,0,8,Moderate signal
JEEP,CHEROKEE,2014,POWER TRAIN,6,Transmission shifting / gear engagement issue,"CHRYSLER (FCA US, LLC)",13,2020-01-01,2025-11-01,8,4.62,4.0,4.2,0.456,11.697,0,6,Moderate signal
FORD,FOCUS,2014,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,13,2020-01-01,2025-07-01,8,5.38,5.0,3.75,0.489,10.849,0,9,Moderate signal
JEEP,GRAND CHEROKEE,2015,SEATS,11,Airbag nondeployment / crash restraint issue,"CHRYSLER (FCA US, LLC)",13,2020-01-01,2025-07-01,8,4.38,4.0,3.75,0.423,10.157,0,5,Moderate signal
ACURA,RDX,2014,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,HONDA (AMERICAN HONDA MOTOR CO.),13,2020-09-01,2025-11-01,7,4.46,4.0,4.5,0.834,12.474,0,6,Moderate signal
CHEVROLET,SILVERADO 1500,2019,POWER TRAIN,6,Transmission shifting / gear engagement issue,"GENERAL MOTORS, LLC",13,2020-01-01,2024-11-01,7,4.31,4.0,4.0,0.492,11.408,0,4,Moderate signal
