month,mfr_name,maketxt,modeltxt,yeartxt,component_group,topic_id,topic_label,topic_category,complaints,unique_states,rolling_6mo_avg,growth_vs_6mo_avg,growth_delta_6mo,severity_broad_rate,critical_event_near_operation_rate,high_speed_rate,avg_topic_strength,watchlist_score,monitor_reason,month_rank
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,19,13,11.166666666666666,1.7014925373134329,7.833333333333334,0.0,0.05263157894736842,0.3684210526315789,0.5707619260208707,9.088482100244923,high-speed context; strong topic match,1
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2013,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,7,7,4.333333333333333,1.6153846153846154,2.666666666666667,0.14285714285714285,0.0,0.42857142857142855,0.43718215208702255,5.960428025199091,high-speed context,2
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,TUCSON,2025,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,defect,4,2,2.1666666666666665,1.8461538461538463,1.8333333333333335,0.0,0.0,0.5,0.37749216966628657,4.4388608364542605,high-speed context,3
2026-02-01,FORD MOTOR COMPANY,FORD,EXPEDITION,2020,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,4,4,3.0,1.3333333333333333,1.0,0.0,0.0,0.75,0.3513619028549118,3.6928616703442856,high-speed context,4
2026-02-01,FORD MOTOR COMPANY,FORD,ESCAPE,2022,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,defect,3,3,2.3333333333333335,1.2857142857142856,0.6666666666666665,0.0,0.3333333333333333,0.0,0.6957761483132048,3.435893694596966,critical event while in operation; strong topic match,5
2026-02-01,"KIA AMERICA, INC.",KIA,SELTOS,2021,ENGINE / COOLING,15,Oil consumption / low oil issue,defect,3,3,3.1666666666666665,0.9473684210526316,-0.16666666666666652,0.0,0.3333333333333333,0.0,0.4702726211584905,2.029988464489205,critical event while in operation; strong topic match,6
2026-02-01,FORD MOTOR COMPANY,FORD,EDGE,2019,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,5,5,7.833333333333333,0.6382978723404256,-2.833333333333333,0.0,0.0,0.6,0.498588976961878,1.956334747674858,high-speed context; strong topic match,7
2026-02-01,FORD MOTOR COMPANY,FORD,EXPLORER,2020,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,3,3,4.666666666666667,0.6428571428571428,-1.666666666666667,0.0,0.3333333333333333,0.0,0.30393071398377264,1.1897188247283648,critical event while in operation,8
2026-01-01,"CHRYSLER (FCA US, LLC)",JEEP,CHEROKEE,2019,POWER TRAIN,1,Electric power steering assist loss,defect,5,4,2.8333333333333335,1.7647058823529411,2.1666666666666665,0.2,0.4,0.0,0.31382291534847984,5.260876798754518,critical event while in operation,1
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,TRAVERSE,2025,SERVICE BRAKES,4,Brake pedal / braking performance issue,defect,7,5,5.5,1.2727272727272727,1.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.3753236417568462,5.088837529713397,high-speed context,2
