month,mfr_name,maketxt,modeltxt,yeartxt,component_group,topic_id,topic_label,topic_category,complaints,unique_states,rolling_6mo_avg,growth_vs_6mo_avg,growth_delta_6mo,severity_broad_rate,critical_event_near_operation_rate,in_operation_rate,highway_rate,high_speed_rate,avg_topic_strength,watchlist_score,watchlist_reason,signal_tier,month_rank
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2017,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,38,21,6.0,6.333333333333333,32.0,0.02631578947368421,0.05263157894736842,0.5,0.18421052631578946,0.2631578947368421,0.5110014476373043,24.100156516884418,6.3x 6-mo baseline; strong topic match,High-confidence signal,1
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2015,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,27,19,4.5,6.0,22.5,0.0,0.07407407407407407,0.25925925925925924,0.3333333333333333,0.4444444444444444,0.5363792541702667,23.178736958189955,6.0x 6-mo baseline; high-speed context; strong topic match,High-confidence signal,2
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2016,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,30,19,3.6666666666666665,8.181818181818182,26.333333333333332,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.4841189321369488,22.545886667822547,8.2x 6-mo baseline; high-speed context; strong topic match,High-confidence signal,3
2026-02-01,MAZDA MOTOR CORP.,MAZDA,CX-90,2024,STEERING,10,Steering wheel binding / difficult turning issue,defect,18,14,3.1666666666666665,5.684210526315789,14.833333333333334,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5739945204836885,17.802789572704953,5.7x 6-mo baseline; strong topic match,High-confidence signal,4
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2024,ELECTRICAL SYSTEM,1,Electric power steering assist loss,defect,7,6,0.5,7.0,6.5,0.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.3558947079811778,17.017361134099644,7.0x 6-mo baseline; critical event while in operation; high-speed context,Moderate signal,5
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2020,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,16,13,5.166666666666667,3.096774193548387,10.833333333333332,0.0625,0.0625,0.375,0.3125,0.3125,0.4994531167990596,15.09856694023441,3.1x 6-mo baseline; strong topic match,High-confidence signal,6
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2016,POWER TRAIN,2,Check engine light / engine fault complaints,defect,3,3,0.0,3.0,3.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.429486002838163,11.588876107821703,new/reemerging signal: 3 complaints after zero prior 6-mo baseline; critical event while in operation,Early signal,7
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2016,ELECTRICAL SYSTEM,6,Transmission shifting / gear engagement issue,defect,4,3,0.16666666666666666,4.0,3.8333333333333335,0.0,0.0,0.5,0.25,0.5,0.5561134077323233,11.351385556251657,4.0x 6-mo baseline; high-speed context; strong topic match,Early signal,8
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,ELANTRA,2017,ENGINE / COOLING,15,Oil consumption / low oil issue,defect,3,3,0.8333333333333334,3.0,2.1666666666666665,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.40878372389230755,10.64250164200487,3.0x 6-mo baseline; critical event while in operation; high-speed context,Early signal,9
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2016,ENGINE / COOLING,6,Transmission shifting / gear engagement issue,defect,3,3,0.0,3.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5978101784453634,10.594177556854001,new/reemerging signal: 3 complaints after zero prior 6-mo baseline; high-speed context; strong topic match,Early signal,10
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2022,ENGINE / COOLING,15,Oil consumption / low oil issue,defect,5,5,1.5,3.3333333333333335,3.5,0.0,0.2,0.4,0.4,0.6,0.39281215966973304,10.442986994049765,3.3x 6-mo baseline; high-speed context,Moderate signal,11
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2017,ELECTRICAL SYSTEM,6,Transmission shifting / gear engagement issue,defect,3,3,0.0,3.0,3.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.40965359841282184,10.200356795287078,new/reemerging signal: 3 complaints after zero prior 6-mo baseline; high-speed context,Early signal,12
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,SANTA FE SPORT,2018,ENGINE / COOLING,2,Check engine light / engine fault complaints,defect,3,3,0.3333333333333333,3.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.46781139382191345,10.129470408977237,3.0x 6-mo baseline; critical event while in operation; high-speed context; strong topic match,Early signal,13
2026-02-01,"BMW OF NORTH AMERICA, LLC",BMW,X5,2019,ENGINE / COOLING,15,Oil consumption / low oil issue,defect,3,3,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3582500378750155,9.602254863856496,3.0x 6-mo baseline; critical event while in operation; high-speed context,Early signal,14
2026-02-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2022,ENGINE / COOLING,15,Oil consumption / low oil issue,defect,4,4,0.8333333333333334,4.0,3.1666666666666665,0.0,0.0,0.25,0.25,0.25,0.4429856298506297,9.312176063102786,4.0x 6-mo baseline,Early signal,15
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2025,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,defect,6,6,1.0,6.0,5.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2747001284109399,9.105816333566631,6.0x 6-mo baseline,Moderate signal,16
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2022,FUEL / PROPULSION,15,Oil consumption / low oil issue,defect,3,3,0.0,3.0,3.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3423849371919266,8.484241557864756,new/reemerging signal: 3 complaints after zero prior 6-mo baseline; critical event while in operation,Early signal,17
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2017,VEHICLE SPEED CONTROL,6,Transmission shifting / gear engagement issue,defect,3,3,1.0,3.0,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.4596948231032068,8.468815215316688,3.0x 6-mo baseline; high-speed context; strong topic match,Early signal,18
2026-02-01,HONDA (AMERICAN HONDA MOTOR CO.),ACURA,RDX,2013,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,defect,3,3,0.3333333333333333,3.0,2.6666666666666665,0.3333333333333333,0.0,0.0,0.0,0.0,0.8419086410377513,8.275702396832486,3.0x 6-mo baseline; strong topic match,Early signal,19
2026-02-01,TOYOTA MOTOR CORPORATION,TOYOTA,RAV4,2021,ELECTRICAL SYSTEM,7,Door latch / lock / unintended opening issue,defect,3,2,0.0,3.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6145770770382492,8.172167791154058,new/reemerging signal: 3 complaints after zero prior 6-mo baseline; strong topic match,Early signal,20
2026-02-01,"CHRYSLER (FCA US, LLC)",JEEP,WRANGLER,2023,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,defect,4,4,1.3333333333333333,3.0,2.666666666666667,0.0,0.25,0.5,0.0,0.0,0.4360581159062049,7.158325867836018,3.0x 6-mo baseline; critical event while in operation,Early signal,21
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,SUBURBAN,2021,ENGINE / COOLING,15,Oil consumption / low oil issue,defect,3,2,1.0,3.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8421756159469056,7.063117050559308,3.0x 6-mo baseline; strong topic match,Early signal,22
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,3,3,0.8333333333333334,3.0,2.1666666666666665,0.0,0.0,0.3333333333333333,0.0,0.0,0.7546590647820892,6.674881206129083,3.0x 6-mo baseline; strong topic match,Early signal,23
2026-02-01,FORD MOTOR COMPANY,FORD,BRONCO SPORT,2022,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,defect,3,3,0.8333333333333334,3.0,2.1666666666666665,0.0,0.0,0.3333333333333333,0.0,0.0,0.6684425399327338,6.292412462980237,3.0x 6-mo baseline; strong topic match,Early signal,24
2026-02-01,"CHRYSLER (FCA US, LLC)",RAM,3500,2025,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,defect,4,1,0.4,4.0,3.6,0.0,0.0,0.0,0.0,0.0,0.22491491743143793,6.276260118046867,4.0x 6-mo baseline,Early signal,25
2026-02-01,"CHRYSLER (FCA US, LLC)",RAM,3500,2025,POWER TRAIN,12,Cruise / traction / electronic braking control issue,defect,4,1,0.2,4.0,3.8,0.0,0.0,0.0,0.0,0.0,0.22491491743143793,6.276260118046867,4.0x 6-mo baseline,Early signal,26
2026-02-01,"CHRYSLER (FCA US, LLC)",RAM,3500,2025,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,defect,4,1,0.8,4.0,3.2,0.0,0.0,0.0,0.0,0.0,0.22491491743143793,6.276260118046867,4.0x 6-mo baseline,Early signal,27
2026-02-01,FORD MOTOR COMPANY,FORD,TAURUS,2015,BACK OVER PREVENTION,19,Tire / suspension / frame rust mixed issue,defect_mixed,3,3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.35869786561747374,6.2247754771292065,new/reemerging signal: 3 complaints after zero prior 6-mo baseline,Early signal,28
2026-02-01,"GENERAL MOTORS, LLC",GMC,YUKON XL,2023,ENGINE / COOLING,15,Oil consumption / low oil issue,defect,3,2,0.6666666666666666,3.0,2.3333333333333335,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3834014696569841,6.049228055141324,3.0x 6-mo baseline,Early signal,29
2026-02-01,"CHRYSLER (FCA US, LLC)",JEEP,CHEROKEE,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,3,3,0.3333333333333333,3.0,2.6666666666666665,0.0,0.0,0.6666666666666666,0.0,0.0,0.49441346233079414,5.865419443484921,3.0x 6-mo baseline; strong topic match,Early signal,30
2026-02-01,FORD MOTOR COMPANY,FORD,ESCAPE,2015,BACK OVER PREVENTION,18,Headlight / low beam visibility issue,defect,5,4,1.8333333333333333,2.7272727272727275,3.166666666666667,0.0,0.0,0.0,0.0,0.0,0.450165421711728,5.864748433614738,2.7x 6-mo baseline; strong topic match,Moderate signal,31
2026-02-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2015,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,3,3,0.5,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.6555499478414771,5.845517900894987,3.0x 6-mo baseline; strong topic match,Early signal,32
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2014,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,3,3,1.1666666666666667,2.571428571428571,1.8333333333333333,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3849133065060995,5.731394269688294,2.6x 6-mo baseline,Early signal,33
2026-02-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,PROLOGUE,2024,SUSPENSION,10,Steering wheel binding / difficult turning issue,defect,5,4,1.8333333333333333,2.7272727272727275,3.166666666666667,0.0,0.0,0.2,0.0,0.0,0.36994706963299373,5.691662175630257,2.7x 6-mo baseline,Moderate signal,34
2026-02-01,FORD MOTOR COMPANY,FORD,EXPLORER,2015,STRUCTURE,19,Tire / suspension / frame rust mixed issue,defect_mixed,3,3,0.8333333333333334,3.0,2.1666666666666665,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3192698430508818,5.558710327263705,3.0x 6-mo baseline,Early signal,35
2026-02-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2023,ENGINE / COOLING,15,Oil consumption / low oil issue,defect,3,3,1.3333333333333333,2.25,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5212846414579565,5.485391346600504,2.2x 6-mo baseline; critical event while in operation; strong topic match,Early signal,36
2026-02-01,"CHRYSLER (FCA US, LLC)",ALFA ROMEO,STELVIO,2018,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,defect,3,3,0.6666666666666666,3.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.5534161394684617,5.420755333013355,3.0x 6-mo baseline; strong topic match,Early signal,37
2026-02-01,"KIA AMERICA, INC.",KIA,EV6,2022,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,defect,3,3,0.3333333333333333,3.0,2.6666666666666665,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.31750588241159683,5.40155245616071,3.0x 6-mo baseline,Early signal,38
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2021,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,5,5,2.3333333333333335,2.142857142857143,2.6666666666666665,0.0,0.0,0.2,0.0,0.0,0.5792906089545691,5.307942422974902,2.1x 6-mo baseline; strong topic match,Moderate signal,39
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,SANTA FE,2023,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,defect,3,3,0.5,3.0,2.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.44540137821770004,5.302970207674058,3.0x 6-mo baseline,Early signal,40
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2025,ELECTRICAL SYSTEM,1,Electric power steering assist loss,defect,4,4,1.3333333333333333,3.0,2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.32575191329449626,5.19406774088905,3.0x 6-mo baseline,Early signal,41
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2023,ENGINE / COOLING,6,Transmission shifting / gear engagement issue,defect,3,3,0.3333333333333333,3.0,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.23341733420126895,5.18056243911694,3.0x 6-mo baseline; critical event while in operation,Early signal,42
2026-02-01,"CHRYSLER (FCA US, LLC)",JEEP,WRANGLER,2012,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,defect,3,3,0.5,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.4800868703286005,5.115787476072459,3.0x 6-mo baseline; strong topic match,Early signal,43
2026-02-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2022,POWER TRAIN,6,Transmission shifting / gear engagement issue,defect,3,3,0.8333333333333334,3.0,2.1666666666666665,0.0,0.0,0.3333333333333333,0.0,0.0,0.3942802908096728,5.076189807008249,3.0x 6-mo baseline,Early signal,44
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2023,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,defect,3,2,0.3333333333333333,3.0,2.6666666666666665,0.0,0.0,0.3333333333333333,0.0,0.0,0.3854890145493202,5.037190457546572,3.0x 6-mo baseline,Early signal,45
2026-02-01,FORD MOTOR COMPANY,FORD,F-250,2020,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,defect,3,3,1.1666666666666667,2.571428571428571,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.6628391817436797,5.036428262109865,2.6x 6-mo baseline; strong topic match,Early signal,46
2026-02-01,"KIA AMERICA, INC.",KIA,SPORTAGE,2023,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,defect,3,3,0.5,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.45974754427975667,5.031198597040985,3.0x 6-mo baseline; strong topic match,Early signal,47
2026-02-01,"CHRYSLER (FCA US, LLC)",JEEP,WRANGLER,2014,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,defect,3,3,1.5,2.0,1.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6362004315983686,4.932316727047395,2.0x 6-mo baseline; strong topic match,Early signal,48
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2021,POWER TRAIN,15,Oil consumption / low oil issue,defect,3,3,0.3333333333333333,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.43419987864268567,4.924948842603642,3.0x 6-mo baseline,Early signal,49
