model,split,bin,rows,avg_score,observed_rate,score_gap,is_official
late_fusion_raw,valid_2025,0,7399,0.028960301602831265,0.002162454385727801,0.026797847217103463,False
late_fusion_raw,valid_2025,1,7398,0.05652484394016126,0.0014868883482022169,0.055037955591959044,False
late_fusion_raw,valid_2025,2,7399,0.0814098904887566,0.002838221381267739,0.07857166910748886,False
late_fusion_raw,valid_2025,3,7398,0.10765558661767824,0.003784806704514734,0.1038707799131635,False
late_fusion_raw,valid_2025,4,7399,0.1360105349557167,0.00391944857413164,0.13209108638158504,False
late_fusion_raw,valid_2025,5,7398,0.1653589876245119,0.004866180048661801,0.1604928075758501,False
late_fusion_raw,valid_2025,6,7398,0.19435804536452983,0.004325493376588267,0.19003255198794156,False
late_fusion_raw,valid_2025,7,7399,0.24037824776330596,0.011217732125962969,0.229160515637343,False
late_fusion_raw,valid_2025,8,7398,0.35694319048569445,0.02906190862395242,0.32788128186174204,False
late_fusion_raw,valid_2025,9,7399,0.7539585746312182,0.4619543181511015,0.2920042564801167,False
late_fusion_sigmoid,valid_2025,0,7399,0.001139310940080222,0.002162454385727801,-0.0010231434456475792,True
late_fusion_sigmoid,valid_2025,1,7398,0.0014618258940327128,0.0014868883482022169,-2.5062454169504046e-05,True
late_fusion_sigmoid,valid_2025,2,7399,0.0018339183585920746,0.002838221381267739,-0.0010043030226756643,True
late_fusion_sigmoid,valid_2025,3,7398,0.0023299871183250368,0.003784806704514734,-0.001454819586189697,True
late_fusion_sigmoid,valid_2025,4,7399,0.003016898338125633,0.00391944857413164,-0.0009025502360060066,True
late_fusion_sigmoid,valid_2025,5,7398,0.003939685140954253,0.004866180048661801,-0.0009264949077075479,True
late_fusion_sigmoid,valid_2025,6,7398,0.005128743724503679,0.004325493376588267,0.0008032503479154119,True
late_fusion_sigmoid,valid_2025,7,7399,0.007881755465381366,0.011217732125962969,-0.0033359766605816025,True
late_fusion_sigmoid,valid_2025,8,7398,0.025157146393498787,0.02906190862395242,-0.003904762230453631,True
late_fusion_sigmoid,valid_2025,9,7399,0.4735074577359629,0.4619543181511015,0.011553139584861427,True
late_fusion_isotonic,valid_2025,0,14341,0.0017432536085349698,0.0017432536085349698,0.0,False
late_fusion_isotonic,valid_2025,1,1222,0.0024549918166939444,0.0024549918166939444,0.0,False
late_fusion_isotonic,valid_2025,2,9921,0.0026207035581090614,0.0026207035581090614,0.0,False
late_fusion_isotonic,valid_2025,3,11221,0.0042776936101951695,0.0042776936101951695,0.0,False
late_fusion_isotonic,valid_2025,4,4661,0.004290924694271616,0.004290924694271616,0.0,False
late_fusion_isotonic,valid_2025,5,7134,0.004625735912531538,0.004625735912531539,-8.673617379884035e-19,False
late_fusion_isotonic,valid_2025,6,4553,0.0050516143202284204,0.0050516143202284204,0.0,False
late_fusion_isotonic,valid_2025,7,7431,0.013726281792490917,0.013726281792490917,0.0,False
late_fusion_isotonic,valid_2025,8,6125,0.031183673469387756,0.031183673469387756,0.0,False
late_fusion_isotonic,valid_2025,9,7376,0.4633947939262473,0.4633947939262473,0.0,False
late_fusion_raw,holdout_2026,0,1107,0.02441127468811246,0.0009033423667570009,0.02350793232135546,False
late_fusion_raw,holdout_2026,1,1106,0.04722480712617723,0.0009041591320072332,0.046320647994169996,False
late_fusion_raw,holdout_2026,2,1106,0.06765301627236954,0.0027124773960217,0.06494053887634783,False
late_fusion_raw,holdout_2026,3,1106,0.08977426250708861,0.0018083182640144665,0.08796594424307415,False
late_fusion_raw,holdout_2026,4,1107,0.11660382964069681,0.005420054200542005,0.1111837754401548,False
late_fusion_raw,holdout_2026,5,1106,0.14820500597922878,0.007233273056057866,0.14097173292317092,False
late_fusion_raw,holdout_2026,6,1106,0.18532798296763728,0.0045207956600361665,0.18080718730760112,False
late_fusion_raw,holdout_2026,7,1106,0.2393409826278801,0.012658227848101266,0.2266827547797788,False
late_fusion_raw,holdout_2026,8,1106,0.3748179631034621,0.023508137432188065,0.35130982567127406,False
late_fusion_raw,holdout_2026,9,1107,0.7927466508647601,0.5411020776874436,0.2516445731773166,False
late_fusion_sigmoid,holdout_2026,0,1107,0.00109159501065118,0.0009033423667570009,0.00018825264389417905,True
late_fusion_sigmoid,holdout_2026,1,1106,0.001342255157872153,0.0009041591320072332,0.0004380960258649197,True
late_fusion_sigmoid,holdout_2026,2,1106,0.0016166636810950193,0.0027124773960217,-0.0010958137149266805,True
late_fusion_sigmoid,holdout_2026,3,1106,0.001979072838016681,0.0018083182640144665,0.00017075457400221442,True
late_fusion_sigmoid,holdout_2026,4,1107,0.002528213417109543,0.005420054200542005,-0.0028918407834324623,True
late_fusion_sigmoid,holdout_2026,5,1106,0.003374507013083633,0.007233273056057866,-0.003858766042974233,True
late_fusion_sigmoid,holdout_2026,6,1106,0.004734085949403712,0.0045207956600361665,0.0002132902893675452,True
late_fusion_sigmoid,holdout_2026,7,1106,0.007863932738940328,0.012658227848101266,-0.004794295109160938,True
late_fusion_sigmoid,holdout_2026,8,1106,0.03041913238636881,0.023508137432188065,0.006910994954180745,True
late_fusion_sigmoid,holdout_2026,9,1107,0.5370324309932626,0.5411020776874436,-0.004069646694180973,True
