budget_fraction,budget_label,flagged_rows,flagged_share,severe_cases_captured,recall_within_flagged_set,precision_within_flagged_set,lift_vs_base_rate,score_cutoff,model,split,is_baseline,is_official
0.01,top_1pct,111,0.010033444816053512,108,0.162406015037594,0.972972972972973,16.186466165413535,0.9314713344708029,late_fusion_sigmoid,holdout_2026,False,True
0.02,top_2pct,222,0.020066889632107024,215,0.3233082706766917,0.9684684684684685,16.11152882205514,0.9261490125432291,late_fusion_sigmoid,holdout_2026,False,True
0.05,top_5pct,554,0.05007683268552834,481,0.7233082706766917,0.868231046931408,14.443970033386716,0.7000658768684495,late_fusion_sigmoid,holdout_2026,False,True
0.1,top_10pct,1107,0.10006327397631745,594,0.8932330827067669,0.5365853658536586,8.926682560058683,0.0954902534904421,late_fusion_sigmoid,holdout_2026,False,True
0.01,top_1pct,111,0.010033444816053512,4,0.006015037593984963,0.036036036036036036,0.5994987468671679,0.062401809624977225,dummy_prior,holdout_2026,True,False
0.02,top_2pct,222,0.020066889632107024,6,0.009022556390977444,0.02702702702702703,0.449624060150376,0.062401809624977225,dummy_prior,holdout_2026,True,False
0.05,top_5pct,554,0.05007683268552834,30,0.045112781954887216,0.05415162454873646,0.9008713118536413,0.062401809624977225,dummy_prior,holdout_2026,True,False
0.1,top_10pct,1107,0.10006327397631745,59,0.0887218045112782,0.053297199638663056,0.8866570219586908,0.062401809624977225,dummy_prior,holdout_2026,True,False
0.01,top_1pct,740,0.010002027437994188,735,0.1889946001542813,0.9932432432432432,18.895629043803382,0.9308928394622091,late_fusion_sigmoid,valid_2025,False,True
0.02,top_2pct,1480,0.020004054875988376,1438,0.369760863975315,0.9716216216216216,18.484295622441675,0.8657973905304841,late_fusion_sigmoid,valid_2025,False,True
0.05,top_5pct,3700,0.05001013718997094,2942,0.7564926716379532,0.7951351351351351,15.126786570576748,0.45185249013312306,late_fusion_sigmoid,valid_2025,False,True
0.1,top_10pct,7399,0.10000675812664729,3437,0.8837747492928774,0.4645222327341533,8.83715026712171,0.051184897011859305,late_fusion_sigmoid,valid_2025,False,True
0.01,top_1pct,740,0.010002027437994188,35,0.008999742864489586,0.0472972972972973,0.8997918592287325,0.062401809624977225,dummy_prior,valid_2025,True,False
0.02,top_2pct,1480,0.020004054875988376,72,0.01851375674980715,0.04864864864864865,0.9255001980638392,0.062401809624977225,dummy_prior,valid_2025,True,False
0.05,top_5pct,3700,0.05001013718997094,166,0.04268449472872204,0.044864864864864865,0.8535168493255405,0.062401809624977225,dummy_prior,valid_2025,True,False
0.1,top_10pct,7399,0.10000675812664729,315,0.08099768578040627,0.04257332071901608,0.8099221222412972,0.062401809624977225,dummy_prior,valid_2025,True,False
